Year-Month,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,
,End Date,Value,End Date,Value,End Date,Value,End Date,Value,End Date,Value
1994-Nov,,,,,,,11/28/16,1.122,,
1994-Dec,12/5/16,1.086,12/12/16,1.057,12/19/16,1.039,12/26/16,1.027,,
1995-Jan,1/2/16,1.025,1/9/16,1.046,1/16/16,1.031,1/23/16,1.054,1/30/16,1.055
1995-Feb,2/6/16,1.045,2/13/16,1.04,2/20/16,1.031,2/27/16,1.052,,
1995-Mar,3/6/16,1.053,3/13/16,1.042,3/20/16,1.048,3/27/16,1.065,,
1995-Apr,4/3/16,1.091,4/10/16,1.109,4/17/16,1.123,4/24/16,1.148,,
1995-May,5/1/16,1.144,5/8/16,1.177,5/15/16,1.183,5/22/16,1.21,5/29/16,1.202
1995-Jun,6/5/16,1.202,6/12/16,1.195,6/19/16,1.181,6/26/16,1.169,,
1995-Jul,7/3/16,1.158,7/10/16,1.141,7/17/16,1.125,7/24/16,1.112,7/31/16,1.097
1995-Aug,8/7/16,1.102,8/14/16,1.102,8/21/16,1.108,8/28/16,1.096,,
1995-Sep,9/4/16,1.098,9/11/16,1.094,9/18/16,1.097,9/25/16,1.098,,
1995-Oct,10/2/16,1.091,10/9/16,1.076,10/16/16,1.059,10/23/16,1.05,10/30/16,1.033
1995-Nov,11/6/16,1.04,11/13/16,1.046,11/20/16,1.042,11/27/16,1.047,,
1995-Dec,12/4/16,1.053,12/11/16,1.049,12/18/16,1.089,12/25/16,1.087,,
1996-Jan,1/1/16,1.089,1/8/16,1.108,1/15/16,1.106,1/22/16,1.092,1/29/16,1.079
1996-Feb,2/5/16,1.079,2/12/16,1.078,2/19/16,1.089,2/26/16,1.131,,
1996-Mar,3/4/16,1.146,3/11/16,1.137,3/18/16,1.154,3/25/16,1.19,,
1996-Apr,4/1/16,1.196,4/8/16,1.22,4/15/16,1.257,4/22/16,1.245,4/29/16,1.257
1996-May,5/6/16,1.245,5/13/16,1.25,5/20/16,1.267,5/27/16,1.251,,
1996-Jun,6/3/16,1.239,6/10/16,1.233,6/17/16,1.231,6/24/16,1.217,,
1996-Jul,7/1/16,1.202,7/8/16,1.206,7/15/16,1.211,7/22/16,1.214,7/29/16,1.2
1996-Aug,8/5/16,1.183,8/12/16,1.179,8/19/16,1.196,8/26/16,1.205,,
1996-Sep,9/2/16,1.192,9/9/16,1.209,9/16/16,1.211,9/23/16,1.213,9/30/16,1.205
1996-Oct,10/7/16,1.191,10/14/16,1.216,10/21/16,1.213,10/28/16,1.241,,
1996-Nov,11/4/16,1.251,11/11/16,1.26,11/18/16,1.268,11/25/16,1.282,,
1996-Dec,12/2/16,1.276,12/9/16,1.274,12/16/16,1.255,12/23/16,1.243,12/30/16,1.237
1997-Jan,1/6/16,1.228,1/13/16,1.262,1/20/16,1.259,1/27/16,1.251,,
1997-Feb,2/3/16,1.246,2/10/16,1.232,2/17/16,1.216,2/24/16,1.218,,
1997-Mar,3/3/16,1.202,3/10/16,1.187,3/17/16,1.174,3/24/16,1.191,3/31/16,1.181
1997-Apr,4/7/16,1.179,4/14/16,1.173,4/21/16,1.182,4/28/16,1.183,,
1997-May,5/5/16,1.181,5/12/16,1.185,5/19/16,1.216,5/26/16,1.235,,
1997-Jun,6/2/16,1.238,6/9/16,1.227,6/16/16,1.212,6/23/16,1.198,6/30/16,1.185
1997-Jul,7/7/16,1.185,7/14/16,1.18,7/21/16,1.198,7/28/16,1.184,,
1997-Aug,8/4/16,1.216,8/11/16,1.263,8/18/16,1.248,8/25/16,1.26,,
1997-Sep,9/1/16,1.251,9/8/16,1.241,9/15/16,1.224,9/22/16,1.203,9/29/16,1.181
1997-Oct,10/6/16,1.19,10/13/16,1.176,10/20/16,1.162,10/27/16,1.149,,
1997-Nov,11/3/16,1.146,11/10/16,1.156,11/17/16,1.144,11/24/16,1.144,,
1997-Dec,12/1/16,1.128,12/8/16,1.108,12/15/16,1.095,12/22/16,1.087,12/29/16,1.073
1998-Jan,1/5/16,1.059,1/12/16,1.059,1/19/16,1.046,1/26/16,1.02,,
1998-Feb,2/2/16,1.038,2/9/16,1.036,2/16/16,1.022,2/23/16,1.05,,
1998-Mar,3/2/16,1.032,3/9/16,1.024,3/16/16,1.02,3/23/16,1.016,3/30/16,1.058
1998-Apr,4/6/16,1.045,4/13/16,1.033,4/20/16,1.044,4/27/16,1.065,,
1998-May,5/4/16,1.072,5/11/16,1.088,5/18/16,1.101,5/25/16,1.096,,
1998-Jun,6/1/16,1.085,6/8/16,1.109,6/15/16,1.089,6/22/16,1.072,6/29/16,1.083
1998-Jul,7/6/16,1.089,7/13/16,1.075,7/20/16,1.094,7/27/16,1.079,,
1998-Aug,8/3/16,1.06,8/10/16,1.052,8/17/16,1.039,8/24/16,1.026,8/31/16,1.023
1998-Sep,9/7/16,1.017,9/14/16,1.01,9/21/16,1.042,9/28/16,1.033,,
1998-Oct,10/5/16,1.044,10/12/16,1.038,10/19/16,1.032,10/26/16,1.024,,
1998-Nov,11/2/16,1.017,11/9/16,1.016,11/16/16,0.991,11/23/16,0.982,11/30/16,0.955
1998-Dec,12/7/16,0.924,12/14/16,0.921,12/21/16,0.929,12/28/16,0.921,,
1999-Jan,1/4/16,0.918,1/11/16,0.94,1/18/16,0.937,1/25/16,0.926,,
1999-Feb,2/1/16,0.922,2/8/16,0.924,2/15/16,0.91,2/22/16,0.883,,
1999-Mar,3/1/16,0.905,3/8/16,0.919,3/15/16,1,3/22/16,1.047,3/29/16,1.101
1999-Apr,4/5/16,1.114,4/12/16,1.13,4/19/16,1.115,4/26/16,1.106,,
1999-May,5/3/16,1.122,5/10/16,1.123,5/17/16,1.136,5/24/16,1.113,5/31/16,1.093
1999-Jun,6/7/16,1.114,6/14/16,1.103,6/21/16,1.138,6/28/16,1.11,,
1999-Jul,7/5/16,1.132,7/12/16,1.138,7/19/16,1.165,7/26/16,1.202,,
1999-Aug,8/2/16,1.19,8/9/16,1.188,8/16/16,1.244,8/23/16,1.227,8/30/16,1.226
1999-Sep,9/6/16,1.25,9/13/16,1.26,9/20/16,1.29,9/27/16,1.275,,
1999-Oct,10/4/16,1.257,10/11/16,1.236,10/18/16,1.209,10/25/16,1.232,,
1999-Nov,11/1/16,1.221,11/8/16,1.24,11/15/16,1.278,11/22/16,1.299,11/29/16,1.283
1999-Dec,12/6/16,1.274,12/13/16,1.284,12/20/16,1.276,12/27/16,1.294,,
2000-Jan,1/3/16,1.288,1/10/16,1.269,1/17/16,1.312,1/24/16,1.373,1/31/16,1.352
2000-Feb,2/7/16,1.364,2/14/16,1.406,2/21/16,1.479,2/28/16,1.476,,
2000-Mar,3/6/16,1.549,3/13/16,1.542,3/20/16,1.515,3/27/16,1.473,,
2000-Apr,4/3/16,1.475,4/10/16,1.43,4/17/16,1.387,4/24/16,1.394,,
2000-May,5/1/16,1.365,5/8/16,1.447,5/15/16,1.501,5/22/16,1.544,5/29/16,1.586
2000-Jun,6/5/16,1.636,6/12/16,1.788,6/19/16,1.875,6/26/16,1.802,,
2000-Jul,7/3/16,1.698,7/10/16,1.61,7/17/16,1.51,7/24/16,1.479,7/31/16,1.396
2000-Aug,8/7/16,1.409,8/14/16,1.382,8/21/16,1.443,8/28/16,1.462,,
2000-Sep,9/4/16,1.554,9/11/16,1.584,9/18/16,1.583,9/25/16,1.544,,
2000-Oct,10/2/16,1.498,10/9/16,1.463,10/16/16,1.549,10/23/16,1.597,10/30/16,1.569
2000-Nov,11/6/16,1.532,11/13/16,1.538,11/20/16,1.518,11/27/16,1.526,,
2000-Dec,12/4/16,1.486,12/11/16,1.424,12/18/16,1.399,12/25/16,1.411,,
2001-Jan,1/1/16,1.401,1/8/16,1.455,1/15/16,1.532,1/22/16,1.513,1/29/16,1.492
2001-Feb,2/5/16,1.455,2/12/16,1.521,2/19/16,1.45,2/26/16,1.421,,
2001-Mar,3/5/16,1.396,3/12/16,1.404,3/19/16,1.396,3/26/16,1.41,,
2001-Apr,4/2/16,1.471,4/9/16,1.536,4/16/16,1.595,4/23/16,1.68,4/30/16,1.672
2001-May,5/7/16,1.813,5/14/16,1.812,5/21/16,1.757,5/28/16,1.799,,
2001-Jun,6/4/16,1.751,6/11/16,1.66,6/18/16,1.561,6/25/16,1.434,,
2001-Jul,7/2/16,1.337,7/9/16,1.32,7/16/16,1.325,7/23/16,1.326,7/30/16,1.353
2001-Aug,8/6/16,1.36,8/13/16,1.411,8/20/16,1.504,8/27/16,1.676,,
2001-Sep,9/3/16,1.734,9/10/16,1.655,9/17/16,1.641,9/24/16,1.532,,
2001-Oct,10/1/16,1.4,10/8/16,1.291,10/15/16,1.234,10/22/16,1.193,10/29/16,1.174
2001-Nov,11/5/16,1.164,11/12/16,1.149,11/19/16,1.166,11/26/16,1.108,,
2001-Dec,12/3/16,1.112,12/10/16,1.111,12/17/16,1.051,12/24/16,1.111,12/31/16,1.157
2002-Jan,1/7/16,1.165,1/14/16,1.122,1/21/16,1.111,1/28/16,1.099,,
2002-Feb,2/4/16,1.146,2/11/16,1.111,2/18/16,1.118,2/25/16,1.112,,
2002-Mar,3/4/16,1.179,3/11/16,1.257,3/18/16,1.328,3/25/16,1.358,,
2002-Apr,4/1/16,1.394,4/8/16,1.44,4/15/16,1.393,4/22/16,1.397,4/29/16,1.369
2002-May,5/6/16,1.384,5/13/16,1.379,5/20/16,1.413,5/27/16,1.386,,
2002-Jun,6/3/16,1.406,6/10/16,1.361,6/17/16,1.378,6/24/16,1.385,,
2002-Jul,7/1/16,1.425,7/8/16,1.393,7/15/16,1.427,7/22/16,1.44,7/29/16,1.432
2002-Aug,8/5/16,1.38,8/12/16,1.386,8/19/16,1.397,8/26/16,1.418,,
2002-Sep,9/2/16,1.388,9/9/16,1.396,9/16/16,1.418,9/23/16,1.385,9/30/16,1.429
2002-Oct,10/7/16,1.48,10/14/16,1.493,10/21/16,1.518,10/28/16,1.483,,
2002-Nov,11/4/16,1.494,11/11/16,1.446,11/18/16,1.383,11/25/16,1.327,,
2002-Dec,12/2/16,1.294,12/9/16,1.312,12/16/16,1.341,12/23/16,1.416,12/30/16,1.472
2003-Jan,1/6/16,1.442,1/13/16,1.465,1/20/16,1.457,1/27/16,1.478,,
2003-Feb,2/3/16,1.545,2/10/16,1.631,2/17/16,1.687,2/24/16,1.64,,
2003-Mar,3/3/16,1.684,3/10/16,1.71,3/17/16,1.704,3/24/16,1.617,3/31/16,1.543
2003-Apr,4/7/16,1.535,4/14/16,1.495,4/21/16,1.5,4/28/16,1.486,,
2003-May,5/5/16,1.422,5/12/16,1.434,5/19/16,1.49,5/26/16,1.487,,
2003-Jun,6/2/16,1.465,6/9/16,1.52,6/16/16,1.534,6/23/16,1.467,6/30/16,1.464
2003-Jul,7/7/16,1.468,7/14/16,1.513,7/21/16,1.516,7/28/16,1.501,,
2003-Aug,8/4/16,1.562,8/11/16,1.587,8/18/16,1.62,8/25/16,1.739,,
2003-Sep,9/1/16,1.715,9/8/16,1.664,9/15/16,1.671,9/22/16,1.588,9/29/16,1.507
2003-Oct,10/6/16,1.519,10/13/16,1.542,10/20/16,1.581,10/27/16,1.53,,
2003-Nov,11/3/16,1.534,11/10/16,1.479,11/17/16,1.469,11/24/16,1.503,,
2003-Dec,12/1/16,1.453,12/8/16,1.443,12/15/16,1.434,12/22/16,1.477,12/29/16,1.463
2004-Jan,1/5/16,1.524,1/12/16,1.566,1/19/16,1.6,1/26/16,1.635,,
2004-Feb,2/2/16,1.599,2/9/16,1.638,2/16/16,1.644,2/23/16,1.67,,
2004-Mar,3/1/16,1.693,3/8/16,1.708,3/15/16,1.67,3/22/16,1.706,3/29/16,1.735
2004-Apr,4/5/16,1.75,4/12/16,1.754,4/19/16,1.794,4/26/16,1.791,,
2004-May,5/3/16,1.834,5/10/16,1.927,5/17/16,2.015,5/24/16,2.068,5/31/16,2.017
2004-Jun,6/7/16,1.995,6/14/16,1.9,6/21/16,1.832,6/28/16,1.834,,
2004-Jul,7/5/16,1.821,7/12/16,1.887,7/19/16,1.915,7/26/16,1.866,,
2004-Aug,8/2/16,1.866,8/9/16,1.868,8/16/16,1.881,8/23/16,1.884,8/30/16,1.83
2004-Sep,9/6/16,1.818,9/13/16,1.824,9/20/16,1.867,9/27/16,1.929,,
2004-Oct,10/4/16,1.913,10/11/16,1.966,10/18/16,2.008,10/25/16,1.986,,
2004-Nov,11/1/16,2.003,11/8/16,1.945,11/15/16,1.898,11/22/16,1.894,11/29/16,1.909
2004-Dec,12/6/16,1.852,12/13/16,1.75,12/20/16,1.755,12/27/16,1.731,,
2005-Jan,1/3/16,1.745,1/10/16,1.795,1/17/16,1.825,1/24/16,1.872,1/31/16,1.938
2005-Feb,2/7/16,1.921,2/14/16,1.892,2/21/16,1.9,2/28/16,1.943,,
2005-Mar,3/7/16,2.034,3/14/16,2.078,3/21/16,2.139,3/28/16,2.162,,
2005-Apr,4/4/16,2.216,4/11/16,2.266,4/18/16,2.166,4/25/16,2.183,,
2005-May,5/2/16,2.171,5/9/16,2.091,5/16/16,2.086,5/23/16,2.046,5/30/16,2.021
2005-Jun,6/6/16,2.068,6/13/16,2.102,6/20/16,2.143,6/27/16,2.218,,
2005-Jul,7/4/16,2.211,7/11/16,2.331,7/18/16,2.283,7/25/16,2.212,,
2005-Aug,8/1/16,2.233,8/8/16,2.343,8/15/16,2.545,8/22/16,2.617,8/29/16,2.62
2005-Sep,9/5/16,3.06,9/12/16,2.915,9/19/16,2.695,9/26/16,2.745,,
2005-Oct,10/3/16,2.926,10/10/16,2.783,10/17/16,2.609,10/24/16,2.465,10/31/16,2.336
2005-Nov,11/7/16,2.243,11/14/16,2.196,11/21/16,2.104,11/28/16,2.075,,
2005-Dec,12/5/16,2.14,12/12/16,2.204,12/19/16,2.24,12/26/16,2.216,,
2006-Jan,1/2/16,2.286,1/9/16,2.355,1/16/16,2.285,1/23/16,2.308,1/30/16,2.346
2006-Feb,2/6/16,2.306,2/13/16,2.214,2/20/16,2.191,2/27/16,2.29,,
2006-Mar,3/6/16,2.402,3/13/16,2.412,3/20/16,2.528,3/27/16,2.497,,
2006-Apr,4/3/16,2.596,4/10/16,2.674,4/17/16,2.777,4/24/16,2.889,,
2006-May,5/1/16,2.846,5/8/16,2.803,5/15/16,2.884,5/22/16,2.77,5/29/16,2.775
2006-Jun,6/5/16,2.83,6/12/16,2.842,6/19/16,2.785,6/26/16,2.827,,
2006-Jul,7/3/16,2.92,7/10/16,2.973,7/17/16,2.99,7/24/16,3,7/31/16,2.99
2006-Aug,8/7/16,3.062,8/14/16,2.978,8/21/16,2.865,8/28/16,2.764,,
2006-Sep,9/4/16,2.601,9/11/16,2.449,9/18/16,2.321,9/25/16,2.213,,
2006-Oct,10/2/16,2.183,10/9/16,2.168,10/16/16,2.152,10/23/16,2.174,10/30/16,2.221
2006-Nov,11/6/16,2.216,11/13/16,2.242,11/20/16,2.237,11/27/16,2.228,,
2006-Dec,12/4/16,2.285,12/11/16,2.245,12/18/16,2.298,12/25/16,2.294,,
2007-Jan,1/1/16,2.291,1/8/16,2.233,1/15/16,2.098,1/22/16,2.015,1/29/16,2.105
2007-Feb,2/5/16,2.165,2/12/16,2.251,2/19/16,2.31,2/26/16,2.394,,
2007-Mar,3/5/16,2.491,3/12/16,2.517,3/19/16,2.516,3/26/16,2.546,,
2007-Apr,4/2/16,2.638,4/9/16,2.764,4/16/16,2.821,4/23/16,2.797,4/30/16,2.939
2007-May,5/7/16,3.078,5/14/16,3.183,5/21/16,3.336,5/28/16,3.327,,
2007-Jun,6/4/16,3.23,6/11/16,3.075,6/18/16,2.988,6/25/16,2.976,,
2007-Jul,7/2/16,2.969,7/9/16,3.066,7/16/16,3.18,7/23/16,2.991,7/30/16,2.856
2007-Aug,8/6/16,2.841,8/13/16,2.784,8/20/16,2.884,8/27/16,2.855,,
2007-Sep,9/3/16,2.986,9/10/16,2.991,9/17/16,2.873,9/24/16,2.879,,
2007-Oct,10/1/16,2.804,10/8/16,2.779,10/15/16,2.765,10/22/16,2.821,10/29/16,2.896
2007-Nov,11/5/16,3.063,11/12/16,3.16,11/19/16,3.102,11/26/16,3.092,,
2007-Dec,12/3/16,3.025,12/10/16,2.923,12/17/16,2.969,12/24/16,2.943,12/31/16,3.059
2008-Jan,1/7/16,3.124,1/14/16,3.036,1/21/16,2.986,1/28/16,2.946,,
2008-Feb,2/4/16,2.99,2/11/16,2.971,2/18/16,3.072,2/25/16,3.105,,
2008-Mar,3/3/16,3.107,3/10/16,3.218,3/17/16,3.273,3/24/16,3.211,3/31/16,3.263
2008-Apr,4/7/16,3.309,4/14/16,3.367,4/21/16,3.478,4/28/16,3.58,,
2008-May,5/5/16,3.59,5/12/16,3.748,5/19/16,3.811,5/26/16,3.964,,
2008-Jun,6/2/16,3.963,6/9/16,3.998,6/16/16,4.014,6/23/16,4.008,6/30/16,4.044
2008-Jul,7/7/16,4.067,7/14/16,4.076,7/21/16,3.993,7/28/16,3.838,,
2008-Aug,8/4/16,3.783,8/11/16,3.741,8/18/16,3.713,8/25/16,3.695,,
2008-Sep,9/1/16,3.684,9/8/16,3.646,9/15/16,3.947,9/22/16,3.762,9/29/16,3.619
2008-Oct,10/6/16,3.398,10/13/16,2.987,10/20/16,2.768,10/27/16,2.497,,
2008-Nov,11/3/16,2.24,11/10/16,2.067,11/17/16,1.947,11/24/16,1.774,,
2008-Dec,12/1/16,1.751,12/8/16,1.635,12/15/16,1.67,12/22/16,1.647,12/29/16,1.593
2009-Jan,1/5/16,1.757,1/12/16,1.85,1/19/16,1.899,1/26/16,1.844,,
2009-Feb,2/2/16,1.896,2/9/16,1.893,2/16/16,1.93,2/23/16,1.836,,
2009-Mar,3/2/16,1.914,3/9/16,1.942,3/16/16,1.882,3/23/16,1.972,3/30/16,2.054
2009-Apr,4/6/16,2.009,4/13/16,2.028,4/20/16,2.029,4/27/16,2.006,,
2009-May,5/4/16,2.066,5/11/16,2.267,5/18/16,2.307,5/25/16,2.489,,
2009-Jun,6/1/16,2.606,6/8/16,2.723,6/15/16,2.708,6/22/16,2.679,6/29/16,2.585
2009-Jul,7/6/16,2.564,7/13/16,2.451,7/20/16,2.375,7/27/16,2.479,,
2009-Aug,8/3/16,2.531,8/10/16,2.613,8/17/16,2.567,8/24/16,2.565,8/31/16,2.543
2009-Sep,9/7/16,2.486,9/14/16,2.485,9/21/16,2.469,9/28/16,2.401,,
2009-Oct,10/5/16,2.384,10/12/16,2.464,10/19/16,2.562,10/26/16,2.673,,
2009-Nov,11/2/16,2.691,11/9/16,2.635,11/16/16,2.567,11/23/16,2.607,11/30/16,2.595
2009-Dec,12/7/16,2.594,12/14/16,2.542,12/21/16,2.547,12/28/16,2.58,,
2010-Jan,1/4/16,2.659,1/11/16,2.75,1/18/16,2.705,1/25/16,2.649,,
2010-Feb,2/1/16,2.588,2/8/16,2.601,2/15/16,2.528,2/22/16,2.626,,
2010-Mar,3/1/16,2.666,3/8/16,2.722,3/15/16,2.765,3/22/16,2.823,3/29/16,2.772
2010-Apr,4/5/16,2.817,4/12/16,2.848,4/19/16,2.857,4/26/16,2.821,,
2010-May,5/3/16,2.893,5/10/16,2.885,5/17/16,2.813,5/24/16,2.706,5/31/16,2.643
2010-Jun,6/7/16,2.678,6/14/16,2.663,6/21/16,2.729,6/28/16,2.754,,
2010-Jul,7/5/16,2.702,7/12/16,2.702,7/19/16,2.724,7/26/16,2.761,,
2010-Aug,8/2/16,2.715,8/9/16,2.776,8/16/16,2.704,8/23/16,2.648,8/30/16,2.663
2010-Sep,9/6/16,2.695,9/13/16,2.79,9/20/16,2.762,9/27/16,2.699,,
2010-Oct,10/4/16,2.761,10/11/16,2.86,10/18/16,2.828,10/25/16,2.791,,
2010-Nov,11/1/16,2.786,11/8/16,2.917,11/15/16,2.898,11/22/16,2.849,11/29/16,2.812
2010-Dec,12/6/16,2.954,12/13/16,2.96,12/20/16,2.955,12/27/16,3.071,,
2011-Jan,1/3/16,3.085,1/10/16,3.107,1/17/16,3.118,1/24/16,3.114,1/31/16,3.113
2011-Feb,2/7/16,3.147,2/14/16,3.114,2/21/16,3.163,2/28/16,3.39,,
2011-Mar,3/7/16,3.51,3/14/16,3.552,3/21/16,3.535,3/28/16,3.565,,
2011-Apr,4/4/16,3.699,4/11/16,3.82,4/18/16,3.853,4/25/16,3.905,,
2011-May,5/2/16,4.018,5/9/16,3.985,5/16/16,3.976,5/23/16,3.821,5/30/16,3.811
2011-Jun,6/6/16,3.862,6/13/16,3.728,6/20/16,3.619,6/27/16,3.5,,
2011-Jul,7/4/16,3.605,7/11/16,3.68,7/18/16,3.701,7/25/16,3.709,,
2011-Aug,8/1/16,3.734,8/8/16,3.687,8/15/16,3.604,8/22/16,3.593,8/29/16,3.691
2011-Sep,9/5/16,3.73,9/12/16,3.709,9/19/16,3.598,9/26/16,3.457,,
2011-Oct,10/3/16,3.347,10/10/16,3.364,10/17/16,3.446,10/24/16,3.393,10/31/16,3.414
2011-Nov,11/7/16,3.366,11/14/16,3.405,11/21/16,3.295,11/28/16,3.212,,
2011-Dec,12/5/16,3.239,12/12/16,3.259,12/19/16,3.178,12/26/16,3.259,,
2012-Jan,1/2/16,3.296,1/9/16,3.374,1/16/16,3.381,1/23/16,3.33,1/30/16,3.377
2012-Feb,2/6/16,3.438,2/13/16,3.435,2/20/16,3.5,2/27/16,3.649,,
2012-Mar,3/5/16,3.764,3/12/16,3.816,3/19/16,3.833,3/26/16,3.877,,
2012-Apr,4/2/16,3.888,4/9/16,3.856,4/16/16,3.861,4/23/16,3.772,4/30/16,3.752
2012-May,5/7/16,3.725,5/14/16,3.644,5/21/16,3.635,5/28/16,3.6,,
